SchoolYear;RCDTS;School;Enrollment;FAEnrollment;iepp;eavpp;doepp;ALLCourses;FACourses;ALLTeachers;FATeachers;ALLTeachersCalc;FATeachersCalc
2017;1,2017E+14;Hutsonville High School;105;66;5646;62051;10361;1346;107;14;2;17;5
2017;1,2017E+14;Hutsonville Elem and Jr High Sch;229;50;5646;62051;10361;1367;51;19;1;22;4
2017;1,2017E+14;Robinson High School;503;193;5325;199326;9877;4048;394;36;3;38;5
2017;1,2017E+14;Nuttall Middle School;362;328;5325;199326;9877;3641;975;25;6;27;8
2017;1,2017E+14;Lincoln Elementary School;356;355;5325;199326;9877;4368;773;26;3;28;5
2017;1,2017E+14;Washington Elem School;371;0;5325;199326;9877;401;0;16;0;16;0
2017;1,2017E+14;Palestine High School;110;30;4462;92956;8698;1319;60;12;1;13;2
2017;1,2017E+14;Palestine Grade School;193;134;4462;92956;8698;5004;429;12;1;13;2
2017;1,2017E+14;Oblong High School;186;103;5292;79830;9349;2511;210;20;4;22;6
2017;1,2017E+14;Oblong Elem School;383;309;5292;79830;9349;2972;620;27;2;29;2
2017;1,204E+14;Newton Comm High School;468;271;4840;158237;9126;6572;616;29;3;31;5
2017;1,204E+14;Jasper Co Jr High;208;102;4840;158237;9126;1391;130;11;1;11;1
2017;1,204E+14;Newton Elem School;580;495;4840;158237;9126;3593;496;30;2;30;2
2017;1,204E+14;Ste Marie Elem School;99;0;4840;158237;9126;196;0;4;0;4;0
2017;1,2051E+14;Red Hill Jr/Sr High School;451;233;4517;56129;7985;5944;459;31;3;35;7
2017;1,2051E+14;Bridgeport Grade School;295;279;4517;56129;7985;1820;284;15;1;15;1
2017;1,2051E+14;Sumner Attendance Center;215;130;4517;56129;7985;1685;143;10;0;10;0
2017;1,2051E+14;Lawrenceville High School;355;137;5099;56969;8867;3855;310;;;;
2017;1,2051E+14;Parkview Jr High School;273;69;5099;56969;8867;3231;150;;;;
2017;1,2051E+14;Parkside Elementary School;561;0;5099;56969;8867;78;0;5;0;5;0
2017;1,208E+14;Richland County High School;779;294;5060;90342;9406;8354;828;53;5;53;5
2017;1,208E+14;Richland County Middle School;568;499;5060;90342;9406;5531;748;38;4;41;7
2017;1,208E+14;Richland County Elementary School;989;982;5060;90342;9406;7453;1986;54;6;55;7
2017;1,3014E+14;Carlyle High School;329;62;5254;121444;9291;4309;146;28;3;31;5
2017;1,3014E+14;Carlyle Junior High School;364;1;5254;121444;9291;1732;2;17;0;17;0
2017;1,3014E+14;Carlyle Elementary School;411;0;5254;121444;9291;1874;0;22;0;22;0
2017;1,3014E+14;Wesclin Sr High School;405;181;5428;106119;8580;5268;353;28;3;30;5
2017;1,3014E+14;Trenton Elem School;185;185;5428;106119;8580;1203;324;11;7;13;9
2017;1,3014E+14;New Baden Elementary School;215;215;5428;106119;8580;1302;367;11;8;13;10
2017;1,3014E+14;Wesclin Middle School;507;321;5428;106119;8580;3704;372;32;2;33;3
2017;1,3014E+14;Breese Elem School;402;214;4219;196796;6919;3886;342;20;8;21;9
2017;1,3014E+14;Beckemeyer Elem School;200;199;4219;196796;6919;1998;398;11;9;12;10
2017;1,3014E+14;Aviston Elem School;352;349;4243;132558;6235;2017;393;23;3;24;4
2017;1,3014E+14;Willow Grove Elem School;152;0;5136;78158;8293;654;0;9;0;9;0
